Front,Back,Tags
外出,"Kanji: 外出<br>Romaji: gaishutsu<br>Meaning: go out<br>Example: 雨が降っているから、外出はやめましょう
Ame ga futte iru kara, gaishutsu wa yamemashou
(Hujan turun, jadi jangan keluar rumah)",activity
がっかり,"Kanji: がっかり<br>Romaji: gakkari<br>Meaning: kecewa<br>Example: 雨が降って、ピクニックが中止になったので、がっかりしました
Ame ga futte, pikunikku ga chūshi ni natta node, gakkari shimashita
(Saya sangat kecewa karena piknik dibatalkan karena hujan)",activity
議論,"Kanji: 議論<br>Romaji: giron<br>Meaning: discussion, argument<br>Example: 議論が長くなると、みんな疲れてしまいます
ぎろんがながくなると、みんなつかれてしまいます
(When the discussion goes on too long, everyone gets tired)",activity
合格,"Kanji: 合格<br>Romaji: goukaku<br>Meaning: lulus<br>Example: 試験に合格したら、お父さんにご褒美をもらえる
shiken ni gōkaku shitara, otōsan ni gopōmi o moraeru
(Jika lulus ujian, saya akan mendapatkan hadiah dari ayah saya)",activity
拝見,"Kanji: 拝見<br>Romaji: haiken<br>Meaning: see (kenjogo dari mimasu)<br>Example: 本を拝見させていただきました
Hon o haiken sasete itadakimashita
(Saya telah meminjam buku ini untuk membacanya)",activity
発見,"Kanji: 発見<br>Romaji: hakken<br>Meaning: discovery<br>Example: 森で新しいキノコを発見しました
mori de atarashii kinoko o hakken shimashita
(Saya menemukan jamur baru di hutan)",activity
反映,"Kanji: 反映<br>Romaji: han’ei<br>Meaning: reflection<br>Example: この結果は、先月のデータを反映しています
Kono kekka wa, sengetsu no dēta o han'ei shite imasu
(Hasikan ini telah memasukkan data bulan lalu)",activity
発表,"Kanji: 発表<br>Romaji: happyou<br>Meaning: presentasi<br>Example: 新しい映画の発表会が来週の土曜日です
atarashii eiga no happyōkai ga raishū no doyōbi desu
(Pertemuan pengumuman film baru akan diadakan minggu depan Sabtu)",activity
発明,"Kanji: 発明<br>Romaji: hatsumei<br>Meaning: invention<br>Example: トムさんは新しい発明をしました 彼はとても嬉しそうでした
Tomu-san wa atarashii hatsumei o shimashita kare wa totemo ureshiso deshita
(Tom made a new invention and he looked very happy)",activity
早起き,"Kanji: 早起き<br>Romaji: hayaoki<br>Meaning: wake up early<br>Example: 早起きをすると、朝の空気が気持ちいいです
Hayasoki o suru to, asa no kuuki ga kimochii desu
(Jika bangun pagi, udara pagi merasa menyegarkan)",activity
返事,"Kanji: 返事<br>Romaji: henji<br>Meaning: reply<br>Example: 友達からメールが来たので、すぐに返事を書きました
Tomodachi kara mēru ga kita node, sugu ni henji o kakimashita
(Saya menjawab email teman saya dengan segera)",activity
変化,"Kanji: 変化<br>Romaji: henka<br>Meaning: berubah<br>Example: 季節の変化で、木の葉が赤くなります
kisetsu no henka de ki no ha ga akaku narimasu
(With the change of seasons, the leaves turn red)",activity
変更,"Kanji: 変更<br>Romaji: henkou<br>Meaning: change<br>Example: 予約の変更はできますか
yoyaku no henkou wa dekimasu ka
(Apakah saya bisa mengubah pemesanan?)",activity
翻訳,"Kanji: 翻訳<br>Romaji: honyaku<br>Meaning: translate (dokumen)<br>Example: 翻訳が難しいですけど、頑張ります
Honyaku ga muzukashii desu kedo, ganbarimasu
(Meskipun sulit, saya akan berusaha)",activity
補足,"Kanji: 補足<br>Romaji: hosoku<br>Meaning: info tambahan<br>Example: 先ほどの説明に補足します saki hodo no setsumei ni hosoku shimasu (to add to the previous explanation),",activity
報告,"Kanji: 報告<br>Romaji: houkoku<br>Meaning: report<br>Example: 会議で新しいプロジェクトの進捗を報告しました
Kaigi de atarashii purojekuto no shinchoku o hōkoku shimashita
(Saya melaporkan kemajuan proyek baru di rapat)",activity
訪問,"Kanji: 訪問<br>Romaji: houmon<br>Meaning: visit<br>Example: 友達の家を訪問して、一緒にご飯を食べました
tomodachi no ie o hōmon shite issho ni gohan o tabemashita
(Kunjungi rumah teman dan makan bersama)",activity
放送,"Kanji: 放送<br>Romaji: housou<br>Meaning: broadcast<br>Example: テレビの放送が始まりました
Terebi no hōsō ga hajimarimashita
(Penyiaran televisi telah dimulai)

*or*

ラジオの放送を聞きました
Rajio no hōsō o kimashita
(Saya mendengarkan siaran radio)",activity
違反,"Kanji: 違反<br>Romaji: ihan<br>Meaning: pelanggaran<br>Example: 速い運転は違反です
Hayai unten wa ihan desu
(Mengemudi cepat adalah pelanggaran)",activity
邪魔,"Kanji: 邪魔<br>Romaji: jama<br>Meaning: gangguan<br>Example: 邪魔をしないでください
Jama o shinai de kudasai
(Tolong jangan mengganggu)",activity
実験,"Kanji: 実験<br>Romaji: jikken<br>Meaning: experiment<br>Example: 科学の実験をします
kagaku no jikken o shimasu
(Saya akan melakukan eksperimen ilmiah)",activity
持続,"Kanji: 持続<br>Romaji: jizoku<br>Meaning: continue<br>Example: 持続するためには、毎日少しずつ勉強することが大切です
Jishū suru tame ni wa, mainichi sukoshi zutsu benkyō suru koto ga daijōbu desu
(Kebiasaan untuk berlanjut adalah penting untuk belajar sedikit setiap hari)",activity
準備,"Kanji: 準備<br>Romaji: junbi<br>Meaning: prepare<br>Example: 旅行の準備をしました
ryokō no junbi o shimashita
(Saya sudah menyiapkan persiapan perjalanan)",activity
受賞,"Kanji: 受賞<br>Romaji: jushou<br>Meaning: menerima award<br>Example: 受賞したので、家族と一緒に祝いました
shūshō shita node, kazoku to issho ni iwaimashita
(Karena saya menerima penghargaan, saya merayakannya bersama keluarga)",activity
会談,"Kanji: 会談<br>Romaji: kaidan<br>Meaning: meeting, conference <br>Example: 日本とアメリカの首相は会談で協力を約束しました
Nihon to Amerika no shushō wa kaidan de kyōryoku o yakusoku shimashita
(Kepala negara Jepang dan Amerika berjanji untuk bekerja sama dalam pertemuan)",activity
開発,"Kanji: 開発<br>Romaji: kaihatsu<br>Meaning: develop<br>Example: 会社は新しいソフトを開発しています
Kaisha wa atarashii sofuto o kaihatsu shite imasu
(Perusahaan sedang mengembangkan perangkat lunak baru)",activity
加工,"Kanji: 加工<br>Romaji: kakou<br>Meaning: process, manufacture<br>Example: 写真を加工しすぎだ sashin o kakou shi sugida (fotonya kebanyakan diedit)",activity
確認,"Kanji: 確認<br>Romaji: kakunin<br>Meaning: confirm<br>Example: 電車の時間を確認してください
densha no jikan o kakuninshite kudasai
(Tolong periksa waktu kereta api)",activity
観光,"Kanji: 観光<br>Romaji: kankou<br>Meaning: tourism<br>Example: 東京は観光でにぎやかです
Tōkyō wa kankō de nigiyaka desu
(Tokyo is lively because of tourism)",activity
観光,"Kanji: 観光<br>Romaji: kankou<br>Meaning: tamasya<br>Example: 観光で有名な場所に行きたいです
Kankō de yūmeina basho ni ikitai desu
(Saya ingin pergi ke tempat yang terkenal untuk wisata)",activity
感謝,"Kanji: 感謝<br>Romaji: kansha<br>Meaning: gratitude<br>Example: 感謝の気持ちを伝えたいです
Kansha no kimochi o tsutaetai desu
(Saya ingin menyampaikan rasa terima kasih)",activity
計画,"Kanji: 計画<br>Romaji: keikaku<br>Meaning: basic plan<br>Example: 計画は来週までに完成します
keikaku wa raishū made ni kansei shimasu
(Perencanaan akan selesai sebelum minggu depan)

*or*

私たちは新しい計画を話し合いました
watashitachi wa atarashii keikaku o hanashiaimashita
(Kami membahas rencana baru)",activity
計算,"Kanji: 計算<br>Romaji: keisan<br>Meaning: calculation<br>Example: 計算ができないと、お金の管理が難しいです
keisan ga dekinai to, okane no kanri ga muzukashii desu
(Kalau tidak bisa menghitung, sulit mengelola uang)",activity
計算,"Kanji: 計算<br>Romaji: keisan<br>Meaning: calculation<br>Example: 計算ができないと、お金の管理が難しいです
keisan ga dekinai to, okane no kanri ga muzukashii desu
(If you can't calculate, managing money is difficult)",activity
見物,"Kanji: 見物<br>Romaji: kenbutsu<br>Meaning: sightseeing<br>Example: 花火大会で多くの人が見物しました
hanabi taikai de ooze no hito ga mimimashita
(Many people watched the fireworks display)",activity
見物,"Kanji: 見物<br>Romaji: kenbutsu<br>Meaning: wisata/sightseeing<br>Example: 花火大会でたくさんの人が見物に来ました
hanabi taikai de takusan no hito ga kenbutsu ni kimashita
(Many people came to watch the fireworks festival)",activity
見学,Kanji: 見学<br>Romaji: kengaku<br>Meaning: observation <br>Example: 学校の見学に行きました 学校の見学に行きました (I went to a school visit),activity
喧嘩,"Kanji: 喧嘩<br>Romaji: kenka<br>Meaning: fight<br>Example: 喧嘩をするのは嫌いです
kenka o suru no wa kirai desu
(Saya tidak suka berkelahi)",activity
研修,Kanji: 研修<br>Romaji: kenshuu<br>Meaning: training (formal)<br>Example: 新入社員は来月から研修を受けます shinnyuu shain wa raigetsu kara kenshuu o ukemasu (karyawan baru akan dapat pelatihan mulai bulan depan),activity
化粧,"Kanji: 化粧<br>Romaji: keshou<br>Meaning: dandan<br>Example: 化粧をする前に、顔の汚れをきれいに洗います
Kesho o suru mae ni, kao no yogore o kirei ni araimasu
(Mencuci wajah bersih sebelum merias wajah)",activity
欠席,Kanji: 欠席<br>Romaji: kesseki<br>Meaning: absence <br>Example: 昨日は体調が悪くて欠席しました kinou wa taichou ga warukute kesseki shimashita (kemaren absen karena gak enak badan),activity
企画,"Kanji: 企画<br>Romaji: kikaku<br>Meaning: detailed plan<br>Example: 企画は来週のイベントで使います
kikaku wa raishū no ibento de tsukaimasu
(We will use the plan for next week's event)",activity
緊張,"Kanji: 緊張<br>Romaji: kinchou<br>Meaning: nervous<br>Example: 試験の前はとても緊張して、手が震えていました
Shiken no mae wa totemo kintō shite te ga furuete imashita
(Saya sangat kaget sebelum ujian, tangan saya bergetar)",activity
記入,"Kanji: 記入<br>Romaji: kinyuu<br>Meaning: fill in<br>Example: 申込書に名前と住所を記入してください
Shinkoshō ni namae to jūsho o kinyū shite kudasai
(Mohon isi nama dan alamat di formulir pendaftaran)",activity
帰宅,"Kanji: 帰宅<br>Romaji: kitaku<br>Meaning: return home<br>Example: 帰宅したら、すぐにご飯を食べました
Kaiteki shitara, sugu ni gohan o tabemashita
(Saat pulang ke rumah, saya langsung makan makan)",activity
婚約,"Kanji: 婚約<br>Romaji: konyaku<br>Meaning: tunangan<br>Example: 結婚する前に婚約指輪を買いました
kekkon suru mae ni kon'yaku yubiwa o kaimashita
(Saya membeli cincin pertunangan sebelum menikah)",activity
故障,"Kanji: 故障<br>Romaji: koshou<br>Meaning: damage (mesin)<br>Example: エアコンが故障して、とても暑いです
Eakon ga koshō shite, totemo atsui desu
(Akibatnya AC rusak, jadi sangat panas)",activity
行動,"Kanji: 行動<br>Romaji: koudou<br>Meaning: bertindak<br>Example: 行動が遅いと、みんなに迷惑をかけます
Kōdō ga osoi to, minna ni meiwaku o kakemasu
(Jika bergerak lambat, akan menimbulkan gangguan bagi semua orang)",activity
工事,"Kanji: 工事<br>Romaji: kouji<br>Meaning: construction<br>Example: 駅の近くで大きな工事が始まりました
Eki no chikaku de ookina kouji ga hajimarimashita
(Pekerjaan konstruksi besar dimulai di dekat stasiun)",activity
交渉,"Kanji: 交渉<br>Romaji: koushou<br>Meaning: negotiation<br>Example: 交渉がうまくいったので、新しい仕事ができました
Kōshō ga umakuiitta node, atarashii shigoto ga dekimashita
(Because the negotiation went well, I got a new job)",activity
区別,"Kanji: 区別<br>Romaji: kubetsu<br>Meaning: distinction<br>Example: この果物は色で区別できます
Kono kudamono wa iro de kubetsu dekimasu
(Buah ini bisa dibedakan berdasarkan warna)",activity
強調,"Kanji: 強調<br>Romaji: kyouchou<br>Meaning: emphasize<br>Example: 強調したい点は、この本の内容がとても役に立つことです
kyōchō shitai ten wa, kono hon no naiyō ga totemo yū ni tatsu koto desu
(Poin yang ingin saya tekan adalah bahwa isi buku ini sangat berguna)",activity
教育,"Kanji: 教育<br>Romaji: kyouiku<br>Meaning: education<br>Example: 教育は子供の将来にとってとても大切です
kyōiku wa kodomo no shōrai ni totte totemo taisetsu desu
(Pendidikan sangat penting bagi masa depan anak-anak)",activity
競走,"Kanji: 競走<br>Romaji: kyousou<br>Meaning: race<br>Example: 馬の競走を見に行きました
Uma no kyōsō o mi ni ikimashita
(Saya pergi melihat balapan kuda)",activity
共有,"Kanji: 共有<br>Romaji: kyouyuu<br>Meaning: share<br>Example: 見つけた情報を皆さんと共有したいです。
Mitsuketa jōhō o minasan to kyōyū shitai desu.
(I want to share the information I found with everyone.)",activity
休憩,"Kanji: 休憩<br>Romaji: kyuukei<br>Meaning: istirahat<br>Example: 長く歩いたので、少し休憩しましょう。
Nagaku aruita node, sukoshi kyūkei shimashō.
(Since we walked for a long time, let's take a little break.)",activity
見舞い,"Kanji: 見舞い<br>Romaji: mimai<br>Meaning: jenguk orang sakit<br>Example: 友達が入院したので、お見舞いに行きました。
Tomodachi ga nyūin shita node, omimai ni ikimashita.
(My friend was hospitalized, so I went to visit them.)",activity
無視,"Kanji: 無視<br>Romaji: mushi<br>Meaning: ignore<br>Example: 彼のアドバイスを無視して、自分で決めた
Kare no adobaisu o mushi shite, jibun de kimeta
(Ignoring his advice, I decided on my own)",activity
長生き,"Kanji: 長生き<br>Romaji: nagaiki<br>Meaning: berumur panjang<br>Example: おじいさんは健康に気をつけて長生きをしています
Ojiisan wa kenkou ni ki wo tsukete nagasiki wo shite imasu
(Kakek itu menjaga kesehatannya dengan baik untuk hidup lama)",activity
仲良く,"Kanji: 仲良く<br>Romaji: nakayoku<br>Meaning: hidup rukun<br>Example: 友達と仲良く遊びましょう
Tomodachi to nakayoku asobimashou
(Mari kita bermain bersama teman-teman)",activity
寝坊,"Kanji: 寝坊<br>Romaji: nebou<br>Meaning: oversleep<br>Example: 今日も寝坊してしまったから、学校に遅刻しそう
kyou mo nebou shite shimatta kara gakkou ni chikoku shisou
""Kemarin lagi tidur terlambat, jadi nggak yakin bisa tepat waktu ke sekolah""",activity
荷作り,"Kanji: 荷作り<br>Romaji: nidzukuri<br>Meaning: pack<br>Example: 荷作りを終えてから、空港へ向かいました
ni maki o oete kara, kūkō e mukaimashita
(Saya pergi ke bandara setelah selesai mengemas barang-barang)",activity
認識,"Kanji: 認識<br>Romaji: ninshiki<br>Meaning: recognition, understanding<br>Example: 認識が深まるにつれて、日本の文化をもっと好きになりました
Ninshiki ga fukamaru ni tsurete, Nihon no bunka o motto suki ni narimashita
(As my understanding deepens, I like Japanese culture even more)",activity
入学,"Kanji: 入学<br>Romaji: nyuugaku<br>Meaning: masuk univ<br>Example: 大学に入学するために、毎日勉強しています
daigaku ni nyūgaku suru tame ni, mainichi benkyō shite imasu
(Saya belajar setiap hari untuk masuk universitas)",activity
入院,"Kanji: 入院<br>Romaji: nyuuin<br>Meaning: opname<br>Example: 病気で入院しました
Byouki de nyuuin shimashita
(Saya masuk rumah sakit karena sakit)",activity
入力,"Kanji: 入力<br>Romaji: nyuuryoku<br>Meaning: input<br>Example: パソコンにデータを入力します
Pasokon ni dēta o nyūryoku shimasu
(Saya akan memasukkan data ke komputer)",activity
汚染,"Kanji: 汚染<br>Romaji: osen<br>Meaning: pollution<br>Example: 空気の汚染がひどい日はいつもマスクをします
Kūki no osen ga hidoi hi wa itsumo masuku o shimasu
(Saya selalu memakai masker pada hari-hari ketika polusi udara parah)",activity
応援,"Kanji: 応援<br>Romaji: ouen<br>Meaning: support <br>Example: チームの試合を応援するために、みんなで声援を送りました
チームのしあいをおうえんするために、みんなでせいえんをおくりました
(We all cheered to support the team's match)",activity
来日,"Kanji: 来日<br>Romaji: rainichi<br>Meaning: datang ke jepang<br>Example: 来日する前に、日本の文化について少し勉強しました
Raijisuru mae ni, Nihon no bunka ni tsuite sukoshi benkyō shimashita
(Saya belajar sedikit tentang budaya Jepang sebelum datang ke Jepang)",activity
連携,"Kanji: 連携<br>Romaji: renkei<br>Meaning: collaboration, alignment<br>Example: 会社と大学が連携して新しい技術を研究しています
kaisha to daigaku ga renkei shite atarashii gijutsu o kenkyū shite imasu
(Perusahaan dan universitas bekerja sama untuk mengembangkan teknologi baru)",activity
練習,"Kanji: 練習<br>Romaji: renshuu<br>Meaning: latihan<br>Example: 毎日ピアノの練習をします
mainichi piano no renshū o shimasu
(Saya berlatih piano setiap hari)",activity
理解,"Kanji: 理解<br>Romaji: rikai<br>Meaning: understanding<br>Example: この本は難しいけど、少しずつ理解できるようになりました
Kono hon wa muzukashii kedo, sukoshizutsu rikai dekiru you ni narimashita
(Meskipun buku ini sulit, saya mulai bisa memahaminya sedikit demi sedikit)",activity
離婚,"Kanji: 離婚<br>Romaji: rikon<br>Meaning: divorce<br>Example: 離婚する前に、よく話し合いましょう
Rikon suru mae ni, yoku hanashiaimashou
(Mari berdiskusi dengan baik sebelum bercerai)",activity
離陸,"Kanji: 離陸<br>Romaji: ririku<br>Meaning: takeoff<br>Example: 飛行機が空港から離陸しました
Hikōki ga kūkō kara ririku shimashita
(Pesawat itu lepas landas dari bandara)",activity
利用,"Kanji: 利用<br>Romaji: riyou<br>Meaning: use<br>Example: この図書館は学生の利用が多いです
Kono toshokan wa gakusei no riyō ga ooi desu
(Perpustakaan ini banyak digunakan oleh siswa)",activity
旅行,"Kanji: 旅行<br>Romaji: ryokou<br>Meaning: travel<br>Example: 夏休みに家族と旅行に行きました
Natsu yasumi ni kazoku to ryokō ni ikimashita
(Saya pergi berlibur dengan keluarga selama liburan panas)",activity
両替,"Kanji: 両替<br>Romaji: ryougae<br>Meaning: exchange (currency)<br>Example: 銀行でお金を両替しました
Ginkō de okane o ryōgae shimashita
(Saya menukar uang di bank)",activity
参加,"Kanji: 参加<br>Romaji: sanka<br>Meaning: participation<br>Example: 会議に参加する前に、資料をよく読んでください
Kaigi ni sankashite mae ni, shiryo o yoku yonde kudasai
(Harap membaca baik-baik materi sebelum ikut dalam rapat)",activity
散歩,"Kanji: 散歩<br>Romaji: sanpo<br>Meaning: walk<br>Example: 公園で犬と散歩をしました
Kōen de inu to sanpo o shimashita
(Saya berjalan-jalan di taman bersama anjing)",activity
賛成,"Kanji: 賛成<br>Romaji: sansei<br>Meaning: setuju<br>Example: 私はこの計画に賛成です
Watashi wa kono keikaku ni sansei desu
(Saya setuju dengan rencana ini)",activity
成功,"Kanji: 成功<br>Romaji: seikou<br>Meaning: berhasil<br>Example: 彼の仕事は成功しました
Kare no shigoto wa seikō shimashita
(Kerjanya berhasil)",activity
整理,"Kanji: 整理<br>Romaji: seiri<br>Meaning: mengatur<br>Example: 部屋の整理をしてから、友達と遊びに行きます
heya no seiri o shite kara, tomodachi to asobi ni ikimasu
(Saya akan bermain dengan teman setelah membersihkan kamar saya)",activity
静止,"Kanji: 静止<br>Romaji: seishi<br>Meaning: stand still<br>Example: 宇宙船は静止したまま動かないでください
uchūsen wa seishishita mama ugokanai de kudasai
(""Please don't move the spaceship while it's stationary"")",activity
西洋化,"Kanji: 西洋化<br>Romaji: seiyouka<br>Meaning: westernization<br>Example: 日本の食事は西洋化して、ハンバーガーやピザがよく食べられます
Nihon no shokuji wa seiyōka shite, hanbāgā ya piza ga yoku taberaremasu
(Makanan Jepang semakin terwesternisasi, sehingga hamburger dan pizza sering dimakan)",activity
設計,"Kanji: 設計<br>Romaji: sekkei<br>Meaning: design<br>Example: 設計はとても大切です せっけいはとてもたいせつです
(Design is very important)

設計を考えるのが好きです せっけいをかんがえるのがすきです
(I like thinking about design)",activity
洗濯,"Kanji: 洗濯<br>Romaji: sentaku<br>Meaning: laundry<br>Example: 洗濯物を干す前に、しっかりと水を切ってください
Sentakumono o kaku mae ni shikkari to mizu o kitte kudasai
(Harapkan air dengan baik sebelum mengeringkan pakaian yang akan dikeringkan)",activity
選択,"Kanji: 選択<br>Romaji: sentaku<br>Meaning: choose<br>Example: 選択する前に、よく考えてください
sentakushitumae ni yoku kangaete kudasai
(Haraplah untuk memikirkan dengan baik sebelum memilih)",activity
説明,"Kanji: 説明<br>Romaji: setsumei<br>Meaning: explanation<br>Example: 先生は授業で新しい単語の説明をしました
Sensei wa jugyou de atarashii tango no setsumei o shimashita
(Guru itu menjelaskan kata-kata baru dalam pelajaran)",activity
設定,"Kanji: 設定<br>Romaji: settei<br>Meaning: set<br>Example: ゲームの設定を変えました
Gēmu no settei o kae mashita
(Saya telah mengubah pengaturan permainan)",activity
世話,"Kanji: 世話<br>Romaji: sewa<br>Meaning: mengurus<br>Example: 犬の世話をするのは楽しいです
inu no sewa o suru no wa tanoshii desu
(Mengurus hewan peliharaan anjing itu menyenangkan)",activity
試合,"Kanji: 試合<br>Romaji: shiai<br>Meaning: pertandingan<br>Example: 試合は楽しかったです
shiai wa tanoshikatta desu
(Pertandingan itu menyenangkan)",activity
信仰,"Kanji: 信仰<br>Romaji: shinkou<br>Meaning: iman<br>Example: 信仰の自由はとても大切なことです
shinkō no jiyū wa totemo taisetsu na koto desu
(Keebebasan beragama sangat penting)",activity
心配,"Kanji: 心配<br>Romaji: shinpai<br>Meaning: anxiety<br>Example: 母は私のことを心配しています
Haha wa watashi no koto o shinpai shite imasu
(Ibu selalu khawatir tentang saya)",activity
進歩,"Kanji: 進歩<br>Romaji: shinpo<br>Meaning: progress<br>Example: 科学の進歩は人類の生活を変えました
Kagaku no shinpo wa jinrui no seikatsu o kae mashita
(Pemajuan ilmu pengetahuan telah mengubah kehidupan manusia)",activity
失敗,Kanji: 失敗<br>Romaji: shippai<br>Meaning: failure<br>Example: 試験に失敗した shikken ni shippai shita (i failed in the test),activity
紹介,"Kanji: 紹介<br>Romaji: shoukai<br>Meaning: introduction<br>Example: 友達に日本のおすすめのレストランを紹介しました
Tomodachi ni nihon no osusume no resutoran o shoukai shimashita
(Saya merekomendasikan restoran favorit Jepang kepada teman saya)",activity
招待,"Kanji: 招待<br>Romaji: shoutai<br>Meaning: invitation<br>Example: 友達にパーティーに招待されました
Tomodachi ni pātī ni shōtai saremashita
(Dijemput teman untuk pesta)",activity
所有,"Kanji: 所有<br>Romaji: shoyuu<br>Meaning: possession<br>Example: この会社は所有する車がたくさんあります
Kono kaisha wa shoyuu suru kuruma ga takusan arimasu
(Menggunakan banyak mobil milik perusahaan ini)",activity
出張,"Kanji: 出張<br>Romaji: shucchou<br>Meaning: biz trip<br>Example: 出張で東京へ行きます
Shutchō de Tōkyō e ikimasu
(Saya akan pergi ke Tokyo untuk dinas)",activity
出発,"Kanji: 出発<br>Romaji: shuppatsu<br>Meaning: berangkat<br>Example: 飛行機の出発時間は何時ですか
Hikōki no shuppatsu jikan wa nan-ji desu ka
(Apakah jam berangkatnya pesawat itu?)",activity
出席,Kanji: 出席<br>Romaji: shusseki<br>Meaning: attendance<br>Example: 会議に出席します kaigi ni shusseki shimasu (menghadiri rapat),activity
集中,"Kanji: 集中<br>Romaji: shuuchuu<br>Meaning: concentration <br>Example: 試験が近いから、今日から勉強に集中するつもりです
shiken ga chikai kara, kyō kara benkyō ni shūchū suru tsumori desu
(Saya berencana untuk fokus belajar mulai hari ini karena ujian mendekat)",activity
修理,"Kanji: 修理<br>Romaji: shuuri<br>Meaning: perbaikan<br>Example: 自転車が壊れたから、修理に行きます
Jitensha ga kowareta kara, shuuri ni ikimasu
(Saya akan pergi untuk perbaikan karena sepedaku rusak)",activity
修正,"Kanji: 修正<br>Romaji: shuusei<br>Meaning: revision<br>Example: この文書に間違いがあったので、修正しました
Kono bunsho ni machigai ga attanode, shūsei shimashita
(Saya sudah memperbaiki kesalahan dalam dokumen ini)

*or*

この文章を修正してください
Kono bunshō o shūsei shite kudasai
(Tolong perbaiki tulisan ini)",activity
そのままに,"Kanji: そのままに<br>Romaji: sono mama ni<br>Meaning: leave as is<br>Example: 雨が降っているので、傘をそのままにしておきましょう
Ame ga futte iru node, kasa o sonomama ni shite okimashou
(""Karena sedang hujan, biarkan payung seperti itu saja"")",activity
卒業,"Kanji: 卒業<br>Romaji: sotsugyou<br>Meaning: lulus<br>Example: 大学を卒業したら、就職活動を始めます
daigaku o sotsugyoshitara, shuushoku katsudou o hajimemasu
(Saat lulus kuliah, saya akan memulai pencarian kerja)",activity
